Ticker,TickerType,Company,Traded,Transaction,Trade_Size_USD,Status,Subholding,Description,Name,BioGuideID,Filed,Party,District,Chamber,Comments,Quiver_Upload_Time,excess_return,State,last_modified
HON,ST,HONEYWELL INTERNATIONAL INC.,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-58.2267740279014,Utah,2023-11-16
PGR,ST,PROGRESSIVE CORPORATION,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,119.635159035424,Utah,2023-11-16
UNH,ST,UNITEDHEALTH GROUP INCORPORATED COMMON STOCK,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,14.117962041385,Utah,2023-11-16
ANTM,ST,"ANTHEM, INC.",2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,62.4228286130244,Utah,2023-11-16
CRM,ST,SALESFORCE.COM INC,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-1.72206711305159,Utah,2023-11-16
WM,ST,"WASTE MANAGEMENT, INC.",2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,1.03321181865647,Utah,2023-11-16
LMT,ST,LOCKHEED MARTIN CORPORATION,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-75.6844338248849,Utah,2023-11-16
ICE,ST,INTERCONTINENTAL EXCHANGE INC.,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-43.9737847105226,Utah,2023-11-16
SYY,ST,SYSCO CORPORATION,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-83.8244334869197,Utah,2023-11-16
COST,ST,COSTCO WHOLESALE CORPORATION,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,92.6197198034631,Utah,2023-11-16
